batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
40200,1.87131,0.26166,0.26166,5.85655e-07
40300,1.87134,0.261595,0.261595,2.91899e-07
40400,1.87165,0.260963,0.260963,4.3437e-07
40500,1.87125,0.261775,0.261775,4.22282e-07
40600,1.87114,0.262001,0.262001,2.63763e-07
40700,1.87104,0.262216,0.262216,2.8478e-07
40800,1.87161,0.261034,0.261034,6.98816e-07
40900,1.87163,0.260996,0.260996,6.31082e-07
41000,1.87154,0.261191,0.261191,1.63821e-06
41100,1.87172,0.260827,0.260827,3.95871e-07
41200,1.87173,0.260785,0.260785,5.08722e-07
41300,1.87137,0.26155,0.26155,1.61579e-06
41400,1.87139,0.261492,0.261492,4.09634e-07
41500,1.87146,0.261358,0.261358,3.27646e-07
41600,1.871,0.262302,0.262302,3.18738e-07
41700,1.8714,0.261489,0.261489,3.04074e-07
41800,1.87114,0.261998,0.261998,3.02781e-07
41900,1.87143,0.261404,0.261404,3.5459e-07
42000,1.87141,0.261442,0.261442,3.05809e-07
42100,1.87138,0.261545,0.261545,1.52956e-05
42200,1.87131,0.261659,0.261659,2.68204e-07
42300,1.87105,0.262188,0.262188,8.91706e-07
42400,1.87141,0.261456,0.261456,2.95394e-07
42500,1.87141,0.261452,0.261452,2.84234e-07
42600,1.8712,0.261877,0.261877,5.10379e-07
42700,1.87104,0.262224,0.262224,2.66954e-07
42800,1.87131,0.261664,0.261664,2.59035e-07
42900,1.87143,0.261422,0.261422,2.87434e-07
43000,1.87152,0.261221,0.261221,2.27341e-07
43100,1.87112,0.262048,0.262048,3.05452e-07
43200,1.87125,0.261779,0.261779,2.79594e-07
43300,1.87123,0.261826,0.261826,3.75302e-07
43400,1.87124,0.261819,0.261819,4.94879e-06
43500,1.87129,0.261707,0.261707,1.12697e-06
43600,1.87136,0.261553,0.261553,2.10493e-07
43700,1.87142,0.261429,0.261429,2.63559e-07
43800,1.87146,0.261341,0.261341,1.65682e-07
43900,1.87141,0.261449,0.261449,2.6693e-07
44000,1.87185,0.260548,0.260548,1.59556e-07
